RegionID,SizeRank,RegionName,RegionType,StateName,City,DOM,ZipCode,County,Latitude_zillow,Longitude_zillow,GeoID_zillow,CountyFIPS_zillow,S2Id,DENSITY_DOM,ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,E_HU,E_HH,E_POV150,E_UNEMP,E_HBURD,E_NOHSDP,E_UNINSUR,E_AGE65,E_AGE17,E_DISABL,E_SNGPNT,E_LIMENG,E_MINRTY,E_MUNIT,E_MOBILE,E_CROWD,E_NOVEH,E_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,E_AFAM,E_HISP,E_ASIAN,E_AIAN,E_NHPI,E_TWOMORE,E_OTHERRACE,rowId,Latitude_svi,Longitude_svi,GeoID_svi,CountyFIPS_svi,ZIP,POP_DENSITY,DENSITY_POV150,DENSITY_UNEMP,DENSITY_NOHSDP,DENSITY_UNINSUR,DENSITY_AGE65,DENSITY_AGE17,DENSITY_DISABL,DENSITY_SNGPNT,DENSITY_LIMENG,DENSITY_MINRTY,DENSITY_MUNIT,DENSITY_MOBILE,DENSITY_CROWD,DENSITY_NOVEH,DENSITY_GROUPQ
394359,288,"Bangor, ME",msa,ME,BANGOR,41.0,4402,PENOBSCOT,44.99074795000001,-68.78687709999997,2301902795,23019,552585320118345,-0.2984499958554664,23,Maine,ME,23019,Penobscot County,23019004300,Census Tract 43; Penobscot County; Maine,8.296164407552,4907,2243,2138,1170,69,870,109,440,985,999,819,111,17,159,208,127,0,186,56,0.6395,0.2701,0.8615,0.1648,0.6261,2.562,0.5258,0.6942,0.423,0.7377,0.5155,0.3184,2.6888,0.6307,0.0261,0.0261,0.0261,0.6271,0.7198,0.0,0.7055,0.7006,2.753,0.7057,8.0299,0.5621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3281,247,0,6,1,0,0,20,132,25769806554,44.99074795000001,-68.78687709999997,2301902795,23019,04402,591.4781529080061,-0.07781578535920777,-0.06908636996293513,-0.12469371174957479,-0.06772925913261396,-0.08241401099546292,-0.07284453438727115,-0.07185314068952414,-0.06910382682414963,-0.16358025438063734,-0.07262777429624545,-0.04938787709568425,-0.0836346262247439,-0.08208695035304364,-0.06047216160182364,-0.26169632683562605
394788,367,"Lewiston, ME",msa,ME,LEWISTON,18.0,4050,ANDROSCOGGIN,43.751804898765435,-70.30688758641975,2300541067,23005,552662640827900,-1.564541200495656,23,Maine,ME,23005,Cumberland County,23005017308,Census Tract 173.08; Cumberland County; Maine,7.584955643206,4141,2487,1926,218,65,452,32,86,1768,651,478,27,0,374,300,0,0,63,250,0.0903,0.3773,0.4724,0.0414,0.1323,1.1137,0.1165,0.9842,0.1802,0.4745,0.1342,0.0,1.7731,0.1322,0.1411,0.1411,0.1411,0.6763,0.0,0.0,0.3833,0.9196,1.9792,0.3714,5.0071,0.1225,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,2,4381,267,0,142,125,21,0,86,0,25769806439,43.751804898765435,-70.30688758641975,2300526525,23005,04013,545.9491386359231,-0.0832981912220707,-0.06902710147660529,-0.12644498121144337,-0.06995008241328338,-0.07570642517483255,-0.07422595503773369,-0.07384091295911874,-0.07307237490044827,-0.17360732403172335,-0.07198306390468655,-0.0352629814382471,-0.08556605870764167,-0.08208695035304364,-0.06552171372820605,-0.25006102478392295
394997,105,"Portland, ME",msa,ME,PORTLAND,29.0,4101,CUMBERLAND,43.751804898765435,-70.30688758641975,2300560545,23005,552662640827900,-0.9590193200155652,23,Maine,ME,23005,Cumberland County,23005017308,Census Tract 173.08; Cumberland County; Maine,7.584955643206,4141,2487,1926,218,65,452,32,86,1768,651,478,27,0,374,300,0,0,63,250,0.0903,0.3773,0.4724,0.0414,0.1323,1.1137,0.1165,0.9842,0.1802,0.4745,0.1342,0.0,1.7731,0.1322,0.1411,0.1411,0.1411,0.6763,0.0,0.0,0.3833,0.9196,1.9792,0.3714,5.0071,0.1225,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,2,4381,267,0,142,125,21,0,86,0,25769806439,43.751804898765435,-70.30688758641975,2300526525,23005,04013,545.9491386359231,-0.0832981912220707,-0.06902710147660529,-0.12644498121144337,-0.06995008241328338,-0.07570642517483255,-0.07422595503773369,-0.07384091295911874,-0.07307237490044827,-0.17360732403172335,-0.07198306390468655,-0.0352629814382471,-0.08556605870764167,-0.08208695035304364,-0.06552171372820605,-0.25006102478392295
394353,339,"Augusta, ME",msa,ME,AUGUSTA,36.0,4050,KENNEBEC,43.751804898765435,-70.30688758641975,2300541067,23005,552662640827900,-0.5736872142555076,23,Maine,ME,23005,Cumberland County,23005017308,Census Tract 173.08; Cumberland County; Maine,7.584955643206,4141,2487,1926,218,65,452,32,86,1768,651,478,27,0,374,300,0,0,63,250,0.0903,0.3773,0.4724,0.0414,0.1323,1.1137,0.1165,0.9842,0.1802,0.4745,0.1342,0.0,1.7731,0.1322,0.1411,0.1411,0.1411,0.6763,0.0,0.0,0.3833,0.9196,1.9792,0.3714,5.0071,0.1225,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,2,4381,267,0,142,125,21,0,86,0,25769806439,43.751804898765435,-70.30688758641975,2300526525,23005,04013,545.9491386359231,-0.0832981912220707,-0.06902710147660529,-0.12644498121144337,-0.06995008241328338,-0.07570642517483255,-0.07422595503773369,-0.07384091295911874,-0.07307237490044827,-0.17360732403172335,-0.07198306390468655,-0.0352629814382471,-0.08556605870764167,-0.08208695035304364,-0.06552171372820605,-0.25006102478392295
394759,519,"Laconia, NH",msa,NH,LACONIA,39.0,3246,BELKNAP,43.52958755555556,-71.43799406111111,3300104740,33001,552681829199343,-0.4085448832154829,33,New Hampshire,NH,33001,Belknap County,33001965802,Census Tract 9658.02; Belknap County; New Hampshire,16.326030790786,3932,1849,1658,1023,50,413,390,323,871,949,756,24,0,247,38,534,82,125,3,0.6755,0.2701,0.5184,0.7133,0.5851,2.7624,0.5874,0.7807,0.6571,0.8314,0.1342,0.0,2.4034,0.4525,0.0842,0.0842,0.0842,0.4004,0.9452,0.7706,0.6571,0.3692,3.1425,0.8467,8.3925,0.617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,3389,354,0,111,80,0,0,56,0,34359742796,43.52958755555556,-71.43799406111111,3300103220,33001,03218,240.84237316391207,-0.06993487857709897,-0.06684210066375365,-0.10469596141234719,-0.06546733530771272,-0.07409431171006989,-0.06658145418916535,-0.06500380830389399,-0.07163108115770478,-0.17360732403172335,-0.07145561725462625,-0.06323014680780151,-0.06562157138134449,-0.058213926881117505,-0.05528375211025411,-0.26433005386702935
845164,211,"Lebanon, NH",msa,NH,LEBANON,38.0,3756,GRAFTON,43.8354527892857,-71.91003918928571,3300941300,33009,552722124020339,-0.46359232689549107,33,New Hampshire,NH,33009,Grafton County,33009961702,Census Tract 9617.02; Grafton County; New Hampshire,3.45664765336,3417,1688,1461,609,31,560,195,55,1008,513,429,31,34,790,697,10,0,165,14,0.4788,0.1141,0.8285,0.4328,0.0853,1.9395,0.3353,0.9328,0.157,0.4944,0.2012,0.4592,2.2446,0.3552,0.3765,0.3765,0.3765,0.9104,0.4993,0.0,0.7809,0.5488,2.7394,0.7005,7.3,0.4437,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,2,9133,196,55,63,445,6,0,173,48,34359742879,43.8354527892857,-71.91003918928571,3300908660,33009,03223,988.5300275480895,-0.08254547863653439,-0.07119120281626014,-0.12451285074983466,-0.07033596174223455,-0.08516694239950146,-0.07609948798941489,-0.07556489142748893,-0.07359196514992668,-0.16160810808273537,-0.07180629771392903,-0.02415488453137958,-0.08547506221522683,-0.08208695035304364,-0.06421490083793224,-0.2642754020713297
394429,206,"Burlington, VT",msa,VT,BURLINGTON,28.0,5402,CHITTENDEN,44.478601,-73.15632134390245,5000710675,50007,553336936937768,-1.0140667636955736,50,Vermont,VT,50007,Chittenden County,50007002104,Census Tract 21.04; Chittenden County; Vermont,9.587716138262,3686,1427,1370,1152,356,282,276,140,485,762,600,115,0,366,123,375,64,0,0,0.7696,0.9567,0.3696,0.6321,0.2682,2.9962,0.6576,0.3263,0.4414,0.7241,0.7338,0.0,2.2256,0.3434,0.1598,0.1598,0.1598,0.6118,0.9328,0.7608,0.0,0.0,2.3054,0.5108,7.687,0.5072,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,4249,253,285,0,0,13,0,68,0,60129546193,44.478601,-73.15632134390245,5000710675,50007,05401,384.4502639466102,-0.07427938509128341,-0.04911470663160668,-0.11725744551884383,-0.06916748739050753,-0.08413571488512196,-0.07202925768603935,-0.0711659746341856,-0.06590329588237677,-0.17360732403172335,-0.07156955452511717,-0.05165282404558028,-0.07679189723709844,-0.07041438588723026,-0.06844878413668636,-0.26472905330033447
394532,14,"Detroit, MI",msa,MI,DETROIT,30.0,49674,WAYNE,44.96794756999999,-85.80896773,2608946700,26089,556960219378105,-0.903971876335557,26,Michigan,MI,26089,Leelanau County,26089970502,Census Tract 9705.02; Leelanau County; Michigan,65.701508994094,2210,1139,891,468,43,220,86,120,659,292,252,19,0,136,0,19,10,16,23,0.571,0.3898,0.5118,0.2904,0.4072,2.1702,0.4053,0.9354,0.1099,0.4186,0.2012,0.0,1.6651,0.1022,0.0821,0.0821,0.0821,0.0,0.5935,0.3967,0.2287,0.6877,1.9066,0.3414,5.824,0.2193,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1928,53,0,48,7,4,0,77,0,25769810805,44.96794756999999,-85.80896773,2608926000,26089,49636,33.636974764136085,-0.03637049880075324,-0.04041976775712209,-0.09163300143872462,-0.05703520962142787,-0.005976816654389045,-0.05339349760342206,-0.04800938375104144,-0.058273275870085774,-0.17360732403172335,-0.06678153864056403,-0.07449488163279404,-0.08048503536977325,-0.06124158356692849,-0.05638321373337235,-0.24282649582315208
394646,157,"Green Bay, WI",msa,WI,GREEN BAY,47.0,54842,BROWN,46.634135799999996,-91.97723091333334,5503141725,55031,595779643203566,0.031834666224583086,55,Wisconsin,WI,55031,Douglas County,55031030200,Census Tract 302; Douglas County; Wisconsin,200.21613998877,5216,2368,2098,511,82,353,186,175,1115,959,650,80,5,227,47,141,17,71,54,0.2274,0.3249,0.2308,0.2706,0.2335,1.2872,0.1564,0.7507,0.3022,0.4877,0.3793,0.229,2.1489,0.3,0.046,0.046,0.046,0.395,0.7258,0.3391,0.3925,0.6877,2.5401,0.6147,6.0222,0.2468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2114,185,0,27,11,52,0,137,0,60129551165,46.634135799999996,-91.97723091333334,5503101825,55031,54864,26.051845771737295,-0.016571933794921678,0.0057058321936365175,-0.027768467632176465,-0.045105461169043966,0.09298071421604409,0.02486285110157838,0.020153372075322674,0.01368203929528095,-0.10665042621084059,-0.059547652144998464,0.05430920239497257,-0.03688106341867353,-0.036332125894483716,0.000680913144721109,-0.19833347110226732
394756,311,"La Crosse, WI",msa,WI,LA CROSSE,23.0,54842,MANITOWOC,46.634135799999996,-91.97723091333334,5503141725,55031,595779643203566,-1.2893039820956147,55,Wisconsin,WI,55031,Douglas County,55031030200,Census Tract 302; Douglas County; Wisconsin,200.21613998877,5216,2368,2098,511,82,353,186,175,1115,959,650,80,5,227,47,141,17,71,54,0.2274,0.3249,0.2308,0.2706,0.2335,1.2872,0.1564,0.7507,0.3022,0.4877,0.3793,0.229,2.1489,0.3,0.046,0.046,0.046,0.395,0.7258,0.3391,0.3925,0.6877,2.5401,0.6147,6.0222,0.2468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2114,185,0,27,11,52,0,137,0,60129551165,46.634135799999996,-91.97723091333334,5503101825,55031,54864,26.051845771737295,-0.016571933794921678,0.0057058321936365175,-0.027768467632176465,-0.045105461169043966,0.09298071421604409,0.02486285110157838,0.020153372075322674,0.01368203929528095,-0.10665042621084059,-0.059547652144998464,0.05430920239497257,-0.03688106341867353,-0.036332125894483716,0.000680913144721109,-0.19833347110226732
394816,88,"Madison, WI",msa,WI,MADISON,35.0,54842,DANE,46.634135799999996,-91.97723091333334,5503141725,55031,595779643203566,-0.6287346579355159,55,Wisconsin,WI,55031,Douglas County,55031030200,Census Tract 302; Douglas County; Wisconsin,200.21613998877,5216,2368,2098,511,82,353,186,175,1115,959,650,80,5,227,47,141,17,71,54,0.2274,0.3249,0.2308,0.2706,0.2335,1.2872,0.1564,0.7507,0.3022,0.4877,0.3793,0.229,2.1489,0.3,0.046,0.046,0.046,0.395,0.7258,0.3391,0.3925,0.6877,2.5401,0.6147,6.0222,0.2468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2114,185,0,27,11,52,0,137,0,60129551165,46.634135799999996,-91.97723091333334,5503101825,55031,54864,26.051845771737295,-0.016571933794921678,0.0057058321936365175,-0.027768467632176465,-0.045105461169043966,0.09298071421604409,0.02486285110157838,0.020153372075322674,0.01368203929528095,-0.10665042621084059,-0.059547652144998464,0.05430920239497257,-0.03688106341867353,-0.036332125894483716,0.000680913144721109,-0.19833347110226732
