RegionID,SizeRank,RegionName,RegionType,StateName,2024-10-05,City
394913,1,"New York, NY",msa,NY,58.0,NEW YORK
753899,2,"Los Angeles, CA",msa,CA,39.0,LOS ANGELES
394463,3,"Chicago, IL",msa,IL,32.0,CHICAGO
394514,4,"Dallas, TX",msa,TX,55.0,DALLAS
394692,5,"Houston, TX",msa,TX,61.0,HOUSTON
395209,6,"Washington, DC",msa,VA,27.0,"WASHINGTON, DC"
394974,7,"Philadelphia, PA",msa,PA,30.0,PHILADELPHIA
394856,8,"Miami, FL",msa,FL,76.0,MIAMI
394347,9,"Atlanta, GA",msa,GA,57.0,ATLANTA
394404,10,"Boston, MA",msa,MA,26.0,BOSTON
394976,11,"Phoenix, AZ",msa,AZ,48.0,PHOENIX
395057,12,"San Francisco, CA",msa,CA,35.0,SAN FRANCISCO
395025,13,"Riverside, CA",msa,CA,47.0,RIVERSIDE
394532,14,"Detroit, MI",msa,MI,30.0,DETROIT
395078,15,"Seattle, WA",msa,WA,32.0,SEATTLE
394865,16,"Minneapolis, MN",msa,MN,42.0,MINNEAPOLIS
395056,17,"San Diego, CA",msa,CA,39.0,SAN DIEGO
395148,18,"Tampa, FL",msa,FL,64.0,TAMPA
394530,19,"Denver, CO",msa,CO,43.0,DENVER
394358,20,"Baltimore, MD",msa,MD,27.0,BALTIMORE
395121,21,"St. Louis, MO",msa,MO,25.0,ST. LOUIS
394943,22,"Orlando, FL",msa,FL,60.0,ORLANDO
394458,23,"Charlotte, NC",msa,NC,42.0,CHARLOTTE
395055,24,"San Antonio, TX",msa,TX,80.0,SAN ANTONIO
394998,25,"Portland, OR",msa,OR,46.0,PORTLAND
395045,26,"Sacramento, CA",msa,CA,36.0,SACRAMENTO
394982,27,"Pittsburgh, PA",msa,PA,40.0,PITTSBURGH
394466,28,"Cincinnati, OH",msa,OH,26.0,CINCINNATI
394355,29,"Austin, TX",msa,TX,86.0,AUSTIN
394775,30,"Las Vegas, NV",msa,NV,43.0,LAS VEGAS
394735,31,"Kansas City, MO",msa,MO,28.0,KANSAS CITY
394492,32,"Columbus, OH",msa,OH,25.0,COLUMBUS
