index,RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,County
0,91982,1,77494,zip,TX,TX,KATY,"Houston-The Woodlands-Sugar Land, TX",Fort Bend County,FORT BEND
1,61148,2,08701,zip,NJ,NJ,LAKEWOOD,"New York-Newark-Jersey City, NY-NJ-PA",Ocean County,OCEAN
2,91940,3,77449,zip,TX,TX,KATY,"Houston-The Woodlands-Sugar Land, TX",Harris County,HARRIS
3,62080,4,11368,zip,NY,NY,NEW YORK,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,QUEENS
4,91733,5,77084,zip,TX,TX,HOUSTON,"Houston-The Woodlands-Sugar Land, TX",Harris County,HARRIS
5,93144,6,79936,zip,TX,TX,EL PASO,"El Paso, TX",El Paso County,EL PASO
6,62093,7,11385,zip,NY,NY,NEW YORK,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,QUEENS
7,92593,8,78660,zip,TX,TX,PFLUGERVILLE,"Austin-Round Rock-Georgetown, TX",Travis County,TRAVIS
8,62019,9,11208,zip,NY,NY,NEW YORK,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,KINGS
9,95992,10,90011,zip,CA,CA,LOS ANGELES,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,LOS ANGELES
10,91926,11,77433,zip,TX,TX,CYPRESS,"Houston-The Woodlands-Sugar Land, TX",Harris County,HARRIS
11,84630,12,60629,zip,IL,IL,CHICAGO,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,COOK
12,96193,13,90650,zip,CA,CA,NORWALK,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,LOS ANGELES
13,96361,14,91331,zip,CA,CA,LOS ANGELES,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,LOS ANGELES
14,74101,15,37013,zip,TN,TN,NASHVILLE,"Nashville-Davidson--Murfreesboro--Franklin, TN",Davidson County,DAVIDSON
15,62046,16,11236,zip,NY,NY,NEW YORK,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,KINGS
16,61807,17,10467,zip,NY,NY,NEW YORK,"New York-Newark-Jersey City, NY-NJ-PA",Bronx County,BRONX
17,62085,18,11373,zip,NY,NY,NEW YORK,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,QUEENS
18,62037,19,11226,zip,NY,NY,NEW YORK,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,KINGS
19,62018,20,11207,zip,NY,NY,NEW YORK,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,KINGS
20,70829,21,30044,zip,GA,GA,LAWRENCEVILLE,"Atlanta-Sandy Springs-Alpharetta, GA",Gwinnett County,GWINNETT
21,96025,22,90044,zip,CA,CA,LOS ANGELES,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,LOS ANGELES
22,96817,23,92336,zip,CA,CA,FONTANA,"Riverside-San Bernardino-Ontario, CA",San Bernardino County,SAN BERNARDINO
23,97771,24,94565,zip,CA,CA,PITTSBURG,"San Francisco-Oakland-Berkeley, CA",Contra Costa County,CONTRA COSTA
24,92036,25,77573,zip,TX,TX,LEAGUE CITY,"Houston-The Woodlands-Sugar Land, TX",Galveston County,GALVESTON
25,96816,26,92335,zip,CA,CA,FONTANA,"Riverside-San Bernardino-Ontario, CA",San Bernardino County,SAN BERNARDINO
26,96083,27,90201,zip,CA,CA,BELL,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,LOS ANGELES
27,96107,28,90250,zip,CA,CA,HAWTHORNE,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,LOS ANGELES
28,61639,29,10025,zip,NY,NY,NEW YORK,"New York-Newark-Jersey City, NY-NJ-PA",New York County,NEW YORK
29,90654,30,75052,zip,TX,TX,GRAND PRAIRIE,"Dallas-Fort Worth-Arlington, TX",Dallas County,DALLAS
30,96239,31,90805,zip,CA,CA,LONG BEACH,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,LOS ANGELES
31,62025,32,11214,zip,NY,NY,NEW YORK,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,KINGS
32,84620,33,60618,zip,IL,IL,CHICAGO,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,COOK
33,97223,34,93307,zip,CA,CA,BAKERSFIELD,"Bakersfield, CA",Kern County,KERN
34,96125,35,90280,zip,CA,CA,SOUTH GATE,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,LOS ANGELES
35,62044,36,11234,zip,NY,NY,NEW YORK,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,KINGS
36,96368,37,91342,zip,CA,CA,LOS ANGELES,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,LOS ANGELES
37,96990,38,92683,zip,CA,CA,WESTMINSTER,"Los Angeles-Long Beach-Anaheim, CA",Orange County,ORANGE
38,61790,39,10314,zip,NY,NY,NEW YORK,"New York-Newark-Jersey City, NY-NJ-PA",Richmond County,RICHMOND
39,62031,40,11220,zip,NY,NY,NEW YORK,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,KINGS
40,84639,41,60639,zip,IL,IL,CHICAGO,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,COOK
41,92341,42,78245,zip,TX,TX,SAN ANTONIO,"San Antonio-New Braunfels, TX",Bexar County,BEXAR
42,62030,43,11219,zip,NY,NY,NEW YORK,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,KINGS
43,96882,44,92503,zip,CA,CA,RIVERSIDE,"Riverside-San Bernardino-Ontario, CA",Riverside County,RIVERSIDE
44,92481,46,78521,zip,TX,TX,BROWNSVILLE,"Brownsville-Harlingen, TX",Cameron County,CAMERON
45,62017,47,11206,zip,NY,NY,NEW YORK,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,KINGS
46,62032,48,11221,zip,NY,NY,NEW YORK,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,KINGS
47,61796,49,10456,zip,NY,NY,NEW YORK,"New York-Newark-Jersey City, NY-NJ-PA",Bronx County,BRONX
48,96825,50,92345,zip,CA,CA,HESPERIA,"Riverside-San Bernardino-Ontario, CA",San Bernardino County,SAN BERNARDINO
49,91968,51,77479,zip,TX,TX,SUGAR LAND,"Houston-The Woodlands-Sugar Land, TX",Fort Bend County,FORT BEND
50,96546,52,91911,zip,CA,CA,CHULA VISTA,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,SAN DIEGO
51,70828,53,30043,zip,GA,GA,LAWRENCEVILLE,"Atlanta-Sandy Springs-Alpharetta, GA",Gwinnett County,GWINNETT
52,62034,54,11223,zip,NY,NY,NEW YORK,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,KINGS
53,399727,55,78542,zip,TX,TX,EDINBURG,"McAllen-Edinburg-Mission, TX",Hidalgo County,HIDALGO
54,92551,56,78613,zip,TX,TX,CEDAR PARK,"Austin-Round Rock-Georgetown, TX",Williamson County,WILLIAMSON
55,62040,57,11230,zip,NY,NY,NEW YORK,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,KINGS
56,84646,58,60647,zip,IL,IL,CHICAGO,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,COOK
57,97104,59,93033,zip,CA,CA,OXNARD,"Oxnard-Thousand Oaks-Ventura, CA",Ventura County,VENTURA
58,97970,60,95076,zip,CA,CA,WATSONVILLE,"Santa Cruz-Watsonville, CA",Santa Cruz County,SANTA CRUZ
59,96690,61,92154,zip,CA,CA,SAN DIEGO,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,SAN DIEGO
60,91922,62,77429,zip,TX,TX,CYPRESS,"Houston-The Woodlands-Sugar Land, TX",Harris County,HARRIS
61,61798,63,10458,zip,NY,NY,NEW YORK,"New York-Newark-Jersey City, NY-NJ-PA",Bronx County,BRONX
62,96846,64,92376,zip,CA,CA,RIALTO,"Riverside-San Bernardino-Ontario, CA",San Bernardino County,SAN BERNARDINO
